Argument,category,FSQType1,FSQType2,Span_FSQType1,Span_FSQType2,Predicted_Type1,Predicted_Type2,Span_PredictedType1,Span_PredictedType2,FSQQuestion1,FSQQuestion2,FSQQuestion1_Corrected,FSQQuestion2_Corrected
"This is a matter of pure statistics. Uneducated/unintelligent people breed more than educated/intelligent ones. Therefore, whenever I learn that someone has a child, I assume they are less intelligent than I had prior to learning that fact.",assumptions,Implicit Existence,Bias and Subjectivity,Uneducated/unintelligent people breed more than educated/intelligent ones.,e they are less intelligent than I had prior to learning that fact.,,,,,Are you implicitly assuming that Uneducated/unintelligent people breed more than educated/intelligent ones. is always the case?,"Are you assuming e they are less intelligent than I had prior to learning that fact. because of personal experience or preference?
Opinion",Are you implicitly assuming that Uneducated/unintelligent people breed more than educated/intelligent ones. is always the case?,"Are you assuming e they are less intelligent than I had prior to learning that fact. because of personal experience or preference?
Opinion?"
"There is no perceivable difference, since whether you remain unconscious for all eternity or are reborn into a new person, you wouldn't remember your previous life either way. But I'm not talking about what value there is in such a model, only whether or not that model is true.",assumptions,Implicit Existence,,"There is no perceivable difference,",,,,,,"Are you implicitly assuming that There is no perceivable difference, is always the case?",,"Are you implicitly assuming that There is no perceivable difference, is always the case?",
"Hmm, not quite. God of the Gaps is where I say ""Unexplained things are the work of God X is an unexplained thing therefore X is the work of God."" That's not what I argued at all, though. Occam's razor is actually a useful tool for the theist. For theism is really quite a simple explanation.",assumptions,,Bias and Subjectivity,,God of the Gaps,,,,,,"Are you assuming God of the Gaps because of personal experience or preference?
Opinion",,"Are you assuming God of the Gaps because of personal experience or preference?
Opinion?"
"I get it. Stereotyping is bad. But what the fuck is with every little thing being labelled cultural appropriation? A white friend of mine has dreadlocks, and the one and only reason he has dreadlocks is because he likes the style.",assumptions,Implicit Existence,Bias and Subjectivity,what the fuck is with every little thing being labelled cultural appropriation,every little thing being labelled cultural appropriation?,,,,,Are you implicitly assuming that what the fuck is with every little thing being labelled cultural appropriation is always the case?,"Are you assuming every little thing being labelled cultural appropriation? because of personal experience or preference?
Opinion",Are you implicitly assuming that what the fuck is with every little thing being labelled cultural appropriation is always the case?,"Are you assuming every little thing being labelled cultural appropriation? because of personal experience or preference?
Opinion?"
"There’s no “long terms” studies on the COVID vaccine because it hasn’t been out for the “long term.” Bruh. Long term in this context could mean 5, 10, or 15+ years. All vaccines can have side affects. Sure it’s doing great work now but we don’t know how it effects the body over time.",assumptions,,Bias and Subjectivity,,All vaccines can have side affects.,,,,,,"Are you assuming All vaccines can have side affects. because of personal experience or preference?
Opinion",,"Are you assuming All vaccines can have side affects. because of personal experience or preference?
Opinion?"
"If the average weight of a US male is 195, the average weight of male police officers is likely also 195. So lets ignore that many, probably most, officers regularly go to the gym and are therefore stronger than the average sedentary adult.",assumptions,Implicit Existence,,"If the average weight of a US male is 195, the average weight of male police officers is likely also 195.",,,,,,"Are you implicitly assuming that If the average weight of a US male is 195, the average weight of male police officers is likely also 195. is always the case?",,"Are you implicitly assuming that If the average weight of a US male is 195, the average weight of male police officers is likely also 195. is always the case?",
"So I know this is a really, really sensitive subject, I’m not trying to stir up conflict, I’m just having what I believe challenged. Here is why I believe this When I was still in the womb, the doctors recommended that I be aborted because I seemed to be developing abnormally.",assumptions,,,,,,,,,,,,
"White people, at their best, have no ill will towards black folks but their refusal to acknowledge or ignorance of systematic racism is not helping black people. Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard.",assumptions,Implicit Existence,Bias and Subjectivity,"White people, at their best, have no ill will towards black folks","White people, at their best, have no ill will towards black folks",,,,,"Are you implicitly assuming that White people, at their best, have no ill will towards black folks is always the case?","Are you assuming White people, at their best, have no ill will towards black folks because of personal experience or preference?
Opinion","Are you implicitly assuming that White people, at their best, have no ill will towards black folks is always the case?","Are you assuming White people, at their best, have no ill will towards black folks because of personal experience or preference?
Opinion?"
"Yes, there are poor people in every race. Nobody is saying you can't help poor white people here. But if you are black you are more likely to he poor due to discrimination.",assumptions,Implicit Existence,Bias and Subjectivity,there are poor people in every race.,there are poor people in every race.,,,,,Are you implicitly assuming that there are poor people in every race. is always the case?,"Are you assuming there are poor people in every race. because of personal experience or preference?
Opinion",Are you implicitly assuming that there are poor people in every race. is always the case?,"Are you assuming there are poor people in every race. because of personal experience or preference?
Opinion?"
"Why do you assume there would be a loss of customers? If large people fly less due to such a rule, it stands to reason that skinny people would fly more.",assumptions,Implicit Existence,,"If large people fly less due to such a rule, it stands to reason that skinny people would fly more.",,,,,,"Are you implicitly assuming that If large people fly less due to such a rule, it stands to reason that skinny people would fly more. is always the case?",,"Are you implicitly assuming that If large people fly less due to such a rule, it stands to reason that skinny people would fly more. is always the case?",
"White people, at their best, have no ill will towards black folks but their refusal to acknowledge or ignorance of systematic racism is not helping black people. Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard.",assumptions,Implicit Existence,Bias and Subjectivity,"White people, at their best, have no ill will towards black folks","White people, at their best, have no ill will towards black folks",,,,,"Are you implicitly assuming that White people, at their best, have no ill will towards black folks is always the case?","Are you assuming White people, at their best, have no ill will towards black folks because of personal experience or preference?
Opinion","Are you implicitly assuming that White people, at their best, have no ill will towards black folks is always the case?","Are you assuming White people, at their best, have no ill will towards black folks because of personal experience or preference?
Opinion?"
"I mean you cant help the transphobic framing because what you are saying is transphobic. I appreciate that you are trying to be respectful on some level, but that does not dilute the core point that you do not believe a trans woman is a woman.",assumptions,,Bias and Subjectivity,,believe a trans woman is a woman.,,,,,,"Are you assuming believe a trans woman is a woman. because of personal experience or preference?
Opinion",,"Are you assuming believe a trans woman is a woman. because of personal experience or preference?
Opinion?"
Why would you assume my gender? Because it’s a human instinct. We judge people without thinking about it.,assumptions,,Bias and Subjectivity,,We judge people without thinking about it.,,,,,,"Are you assuming We judge people without thinking about it. because of personal experience or preference?
Opinion",,"Are you assuming We judge people without thinking about it. because of personal experience or preference?
Opinion?"
"Transracial is not a thing. There is no biological difference between the races of humans, therefore its impossible to feel like another race. There is no ""opinions"" on this matter, this is the scientific consensus.",assumptions,Implicit Existence,Bias and Subjectivity,Transracial is not a thing.,Transracial is not a thing.,,,,,Are you implicitly assuming that Transracial is not a thing. is always the case?,"Are you assuming Transracial is not a thing. because of personal experience or preference?
Opinion",Are you implicitly assuming that Transracial is not a thing. is always the case?,"Are you assuming Transracial is not a thing. because of personal experience or preference?
Opinion?"
No she should definitely be able to compete within her weight class because she was born a woman. It is the very fact we can’t determine how much of an effect being born male has on athletics we can’t let them compete fairly.,assumptions,Implicit Existence,Bias and Subjectivity,she was born a woman,she was born a woman,,,,,Are you implicitly assuming that she was born a woman is always the case?,"Are you assuming she was born a woman because of personal experience or preference?
Opinion",Are you implicitly assuming that she was born a woman is always the case?,"Are you assuming she was born a woman because of personal experience or preference?
Opinion?"
"Or perhaps massive deficit spending? Looking at both the budget deficit and the national debt (I am referring the US), the takeoff on the market coincides with that. So perhaps the stock market performance is due to a transfer of wealth from public to private hands.",assumptions,,Bias and Subjectivity,,due to a transfer of wealth from public to private hands.,,,,,,"Are you assuming due to a transfer of wealth from public to private hands. because of personal experience or preference?
Opinion",,"Are you assuming due to a transfer of wealth from public to private hands. because of personal experience or preference?
Opinion?"
"Yup... there were public goods before the federal income tax was reenacted in 1913, and they were paid for with, wait for it... taxes. Just because there wasn't income tax doesn't mean there wasn't tax.",assumptions,,,,,,,,,,,,
"If I say ""x+1=3 therefore X=2"" and then create a new equation that has ""x"" in it, it's not true that the value of ""x"" persists to the new equation. This is what it means - essentially - to evaluate these separately - don't take the results of one thing and put it into another assumptively.",assumptions,Implicit Existence,,"it's not true that the value of ""x"" persists to the new equation",,,,,,"Are you implicitly assuming that it's not true that the value of ""x"" persists to the new equation is always the case?",,"Are you implicitly assuming that it's not true that the value of ""x"" persists to the new equation is always the case?",
"Because sex isn't coal mining or painting a house. Taking a car without consent is theft. Having sex without consent is rape. Not all jobs are created equal, and not all crime is created equal. Prostitution is the only ""job"" where the line between theft and rape gets blurred.",assumptions,Implicit Existence,Bias and Subjectivity,not all crime is created equal.,"Prostitution is the only ""job"" where the line between theft and rape gets blurred.",,,,,Are you implicitly assuming that not all crime is created equal. is always the case?,"Are you assuming Prostitution is the only ""job"" where the line between theft and rape gets blurred. because of personal experience or preference?
Opinion",Are you implicitly assuming that not all crime is created equal. is always the case?,"Are you assuming Prostitution is the only ""job"" where the line between theft and rape gets blurred. because of personal experience or preference?
Opinion?"
"Normally it is my opinion that history is a good guide to predicting the future which is why I don't like the opinion that I hold in this instance. Humanity has yet to unite or to destroy itself, therefore it seems to follow that we DON'T need to unite to survive.",assumptions,Implicit Existence,Bias and Subjectivity,"Humanity has yet to unite or to destroy itself,","Humanity has yet to unite or to destroy itself,",,,,,"Are you implicitly assuming that Humanity has yet to unite or to destroy itself, is always the case?","Are you assuming Humanity has yet to unite or to destroy itself, because of personal experience or preference?
Opinion","Are you implicitly assuming that Humanity has yet to unite or to destroy itself, is always the case?","Are you assuming Humanity has yet to unite or to destroy itself, because of personal experience or preference?
Opinion?"
"Because deer and humans are not of the same species. If all life is not equivalent in value, then the lives of some species must be worth more or less than others.",assumptions,,Bias and Subjectivity,,the lives of some species must be worth more or less than others,,,,,,"Are you assuming the lives of some species must be worth more or less than others because of personal experience or preference?
Opinion",,"Are you assuming the lives of some species must be worth more or less than others because of personal experience or preference?
Opinion?"
"This is about hypotheticals. Even if I can't prove to you we aren't all extremely intelligent AIs made to falsely believe to have consciousness, I'm working under the basis our human consciousness is real.",assumptions,Implicit Existence,Bias and Subjectivity,"AIs made to falsely believe to have consciousness, I",m working under the basis our human consciousness is real.,,,,,"Are you implicitly assuming that AIs made to falsely believe to have consciousness, I is always the case?","Are you assuming m working under the basis our human consciousness is real. because of personal experience or preference?
Opinion","Are you implicitly assuming that AIs made to falsely believe to have consciousness, I is always the case?","Are you assuming m working under the basis our human consciousness is real. because of personal experience or preference?
Opinion?"
"I used Catholics as an example of people who are logically against both. In response you've gone on a diatribe about how you don't think God exists and you don't think we can know Him, but that doesn't make the single logical conclusion you posted about wrong.",assumptions,,,,,,,,,,,,
Because phoenix rise from the ashes. Those who did not vote or voted for the lesser of evils will be forced to vote for the best once they have seen how bad a country can burn from their mistakes.,reasons_evidence,Lacks Evidence,,Those who did not vote or voted for the lesser of evils will be forced to vote for the best once they have seen how bad a country can burn from their mistakes.,,,,,,Could you point to any data or examples that back up Those who did not vote or voted for the lesser of evils will be forced to vote for the best once they have seen how bad a country can burn from their mistakes.?,,Could you point to any data or examples that back up Those who did not vote or voted for the lesser of evils will be forced to vote for the best once they have seen how bad a country can burn from their mistakes.?,
It will either be Trump or DeSantis. Ultimately I believe Trump will back DeSantis because Ron is is gaining serious momentum and he is receiving positive praise from leaders across both aisles. My view hinges on why DeSantis is a better candidate than Trump.,reasons_evidence,Lacks Evidence,Weak Evidence,Ultimately I believe Trump will back DeSantis because Ron is is gaining serious momentum,My view,,,,,Could you point to any data or examples that back up Ultimately I believe Trump will back DeSantis because Ron is is gaining serious momentum?,What other kinds of evidence might be stronger than My view?,Could you point to any data or examples that back up Ultimately I believe Trump will back DeSantis because Ron is is gaining serious momentum?,What other kinds of evidence might be stronger than My view?
Trump has (before he was president) and he actually has since he has been president. people protesting now shows nothing about what Trump or Obama has done as president.,reasons_evidence,Lacks Evidence,,people protesting now shows nothing about what Trump or Obama has done as president.,,,,,,Could you point to any data or examples that back up people protesting now shows nothing about what Trump or Obama has done as president.?,,Could you point to any data or examples that back up people protesting now shows nothing about what Trump or Obama has done as president.?,
I believe that abortions should be legal. I believe this mostly because it’s not a human inside the mother. It’s a bundle of cells that will more than likely become a human.,reasons_evidence,Lacks Evidence,,It’s a bundle of cells that will more than likely become a human.,,,,,,Could you point to any data or examples that back up It’s a bundle of cells that will more than likely become a human.?,,Could you point to any data or examples that back up It’s a bundle of cells that will more than likely become a human.?,
Third wave feminism is just too open and all-inclusive a movement and therefore so different from Second wave feminism that it's basically egalitarianism by another name. So just switch to egalitarianism and be honest about what you support.,reasons_evidence,,Weak Evidence,,Third wave feminism is just too open and all-inclusive a movement,,,,,,What other kinds of evidence might be stronger than Third wave feminism is just too open and all-inclusive a movement?,,What other kinds of evidence might be stronger than Third wave feminism is just too open and all-inclusive a movement?
"I am profoundly in favor of people thinking for themselves, but only because I think it will eventually lead people to conclusions similar to mine. If you think for yourself and you arrive at a false or harmful set of views, then you wasted your time and you shouldn't have thought for yourself.",reasons_evidence,Lacks Evidence,Weak Evidence,you wasted your time and you shouldn't have thought for yourself.,it will eventually lead people to conclusions similar to mine.,,,,,Could you point to any data or examples that back up you wasted your time and you shouldn't have thought for yourself.?,What other kinds of evidence might be stronger than it will eventually lead people to conclusions similar to mine.?,Could you point to any data or examples that back up you wasted your time and you shouldn't have thought for yourself.?,What other kinds of evidence might be stronger than it will eventually lead people to conclusions similar to mine.?
"Not sure if the link is broken or it’s because I’m on mobile but I can’t see the article you’re linking to, it’s just directing to huffington posts main page. And my stance remains the same wether it’s a white guy playing a black character or a black guy playing a white character etc.",reasons_evidence,,Weak Evidence,,"link is broken or it’s because I’m on mobile but I can’t see the article you’re linking to,",,,,,,"What other kinds of evidence might be stronger than link is broken or it’s because I’m on mobile but I can’t see the article you’re linking to,?",,"What other kinds of evidence might be stronger than link is broken or it’s because I’m on mobile but I can’t see the article you’re linking to,?"
"""if you believe you know everything"" This falls in line with the Bible passages speaking to people worshipping themselves. To dismiss God, you place faith in yourself, and in your own understanding. Therefore, it takes faith, as stated in your own words, to acknowledge or dismiss God.",reasons_evidence,Lacks Evidence,Weak Evidence,This falls in line with the Bible passages speaking to people worshipping themselves.,"To dismiss God, you place faith in yourself, and in your own understanding.",,,,,Could you point to any data or examples that back up This falls in line with the Bible passages speaking to people worshipping themselves.?,"What other kinds of evidence might be stronger than To dismiss God, you place faith in yourself, and in your own understanding.?",Could you point to any data or examples that back up This falls in line with the Bible passages speaking to people worshipping themselves.?,"What other kinds of evidence might be stronger than To dismiss God, you place faith in yourself, and in your own understanding.?"
"Here in the UK schools have to wear a shirt, trousers and a blazer, it is uncomfortable of course. But it is better. But when it comes to bullying, people getting bullied because of what they wear or if they are poor is such a big thing.",reasons_evidence,Lacks Evidence,,But it is better.,,,,,,Could you point to any data or examples that back up But it is better.?,,Could you point to any data or examples that back up But it is better.?,
I’m the single mother and have a 12yr old son. I think about this everyday raising him. I acknowledge that my view may be ..skewed due to personal experiences.,reasons_evidence,,Weak Evidence,,due to personal experiences.,,,,,,What other kinds of evidence might be stronger than due to personal experiences.?,,What other kinds of evidence might be stronger than due to personal experiences.?
"I hate it when a girl I'm dating keeps making new ""male friends"". To me,a person approaching you to hang out,because they found you attractive sounds like a date,not two friends hanging out.",reasons_evidence,Lacks Evidence,,"a person approaching you to hang out,because they found you attractive sounds like a date,not two friends hanging out.",,,,,,"Could you point to any data or examples that back up a person approaching you to hang out,because they found you attractive sounds like a date,not two friends hanging out.?",,"Could you point to any data or examples that back up a person approaching you to hang out,because they found you attractive sounds like a date,not two friends hanging out.?",
You're with the Taliban aren't you. I dunno I just have this suspicion.,reasons_evidence,,Weak Evidence,,I dunno I just have this suspicion.,,,,,,What other kinds of evidence might be stronger than I dunno I just have this suspicion.?,,What other kinds of evidence might be stronger than I dunno I just have this suspicion.?
"I say ""hypothetically"" because we have an imperfect justice system which can convict innocent people. However, in a theoretically flawless justice system which never convicts the innocent, I see nothing wrong with castrating violent rapists.",reasons_evidence,Lacks Evidence,,see nothing wrong with castrating violent rapists.,,,,,,Could you point to any data or examples that back up see nothing wrong with castrating violent rapists.?,,Could you point to any data or examples that back up see nothing wrong with castrating violent rapists.?,
"Why did the hypothetical slave think white people are evil ""Hypothetical slave""? I didn't realize that slaves in America during the 1850s were hypothetical. And they thought 'all whites are evil' because every white person they met considered them to be property.",reasons_evidence,Lacks Evidence,Weak Evidence,didn't realize that slaves in America during the 1850s were hypothetical.,every white person they met considered them to be property.,,,,,Could you point to any data or examples that back up didn't realize that slaves in America during the 1850s were hypothetical.?,What other kinds of evidence might be stronger than every white person they met considered them to be property.?,Could you point to any data or examples that back up didn't realize that slaves in America during the 1850s were hypothetical.?,What other kinds of evidence might be stronger than every white person they met considered them to be property.?
"It's a disservice to yourself to claim to be something you aren't. I'm 37% Scandinavian, 32% English and the rest is a mix of Irish, Greek, and Finnish. Do I call myself a European American? Not at all... Because I'm an American citizen. I'm an American first and foremost.",reasons_evidence,,,,,,,,,,,,
Background: -US Federal Law Code says the flag isn’t to be used for clothing. The code isn’t enforceable because of the 1st amendment. -American Legion says it’s okay to have the flag resembled on clothing. The flag is something to be honored and respected.,reasons_evidence,Lacks Evidence,Weak Evidence,US Federal Law Code says the flag isn’t to be used for clothing.,The code isn’t enforceable because of the 1st amendment.,,,,,Could you point to any data or examples that back up US Federal Law Code says the flag isn’t to be used for clothing.?,What other kinds of evidence might be stronger than The code isn’t enforceable because of the 1st amendment.?,Could you point to any data or examples that back up US Federal Law Code says the flag isn’t to be used for clothing.?,What other kinds of evidence might be stronger than The code isn’t enforceable because of the 1st amendment.?
"I can't comprehend why we as a society should respect every old person just because they're old. Personally, I'm a believer that respect is earned and not given away.",reasons_evidence,Lacks Evidence,,respect is earned and not given away,,,,,,Could you point to any data or examples that back up respect is earned and not given away?,,Could you point to any data or examples that back up respect is earned and not given away?,
"I am responsible for myself in what sense? In the sense of free will: that you can freely choose the actions you make, and that you are the proximal cause for those choices. As a result, you can be justly rewarded or punished based on those choices that you made.",reasons_evidence,,Weak Evidence,,"you can freely choose the actions you make,",,,,,,"What other kinds of evidence might be stronger than you can freely choose the actions you make,?",,"What other kinds of evidence might be stronger than you can freely choose the actions you make,?"
"That is a silly argument. The word ""privileged"" comes from talking about people born from a privileged background, meaning rich.",reasons_evidence,Lacks Evidence,,"The word ""privileged"" comes from talking about people born from a privileged background, meaning rich.",,,,,,"Could you point to any data or examples that back up The word ""privileged"" comes from talking about people born from a privileged background, meaning rich.?",,"Could you point to any data or examples that back up The word ""privileged"" comes from talking about people born from a privileged background, meaning rich.?",
"This is largely overblown. Realistically, the support system in place to get black and Latinx people through high school and into college is way weaker than it is for white people and Asians.",reasons_evidence,Lacks Evidence,,the support system in place to get black and Latinx people through high school and into college is way weaker than it is for white people and Asians.,,,,,,Could you point to any data or examples that back up the support system in place to get black and Latinx people through high school and into college is way weaker than it is for white people and Asians.?,,Could you point to any data or examples that back up the support system in place to get black and Latinx people through high school and into college is way weaker than it is for white people and Asians.?,
Because journals are capitalist endeavors that use free peer-reviewing to put out sheer content in exchange for subscriptions and ad revenue. Summaries of such content would only validate them more,reasons_evidence,,,,,,,,,,,,
"I do design for advanced weapons. I’ve worked on strike aircraft and missiles, but also defense technologies. I won’t go into specifics. I always wanted to work on fighter jets growing up because of the cool factor. Now that I work in the industry and I’ve matured, I’m having some moral qualms.",reasons_evidence,Lacks Evidence,Weak Evidence,I do design for advanced weapons.,"I work in the industry and I’ve matured,",,,,,Could you point to any data or examples that back up I do design for advanced weapons.?,"What other kinds of evidence might be stronger than I work in the industry and I’ve matured,?",Could you point to any data or examples that back up I do design for advanced weapons.?,"What other kinds of evidence might be stronger than I work in the industry and I’ve matured,?"
Establish a historical significance tax exemption so that Westminster Abbey isn't turned into a Walgreens. I am all for that. Lots of corporations do amazing charitable work. And we still tax them. Just because a church runs a soup kitchen doesn't mean that they shouldn't pay tax.,reasons_evidence,Lacks Evidence,,Lots of corporations do amazing charitable work.,,,,,,Could you point to any data or examples that back up Lots of corporations do amazing charitable work.?,,Could you point to any data or examples that back up Lots of corporations do amazing charitable work.?,
When I was referring to academic success I was referring to how students are less stifled from it unfairly by having to handwrite i.e. due to the ease of restructuring an essay on a PC vs a piece of paper.,reasons_evidence,,,,,,,,,,,,
"The profit margin of this life-saving drug is beyond anything reasonable. I believe that those who set and/or support these prices are indirectly responsible for the death, pain, suffering, and emotional anguish that happens as a result.",reasons_evidence,Lacks Evidence,,"I believe that those who set and/or support these prices are indirectly responsible for the death, pain, suffering, and emotional anguish that happens as a resul",,,,,,"Could you point to any data or examples that back up I believe that those who set and/or support these prices are indirectly responsible for the death, pain, suffering, and emotional anguish that happens as a resul?",,"Could you point to any data or examples that back up I believe that those who set and/or support these prices are indirectly responsible for the death, pain, suffering, and emotional anguish that happens as a resul?",
"Here’s my logic: Billionaires like Jeff Bezos exist because people buy from and support the billion-dollar company he runs. Therefore, by buying from Amazon, you are supporting the existence of billionaires like Jeff Bezos.",reasons_evidence,Lacks Evidence,,"Therefore, by buying from Amazon, you are supporting the existence of billionaires like Jeff Bezos.",,,,,,"Could you point to any data or examples that back up Therefore, by buying from Amazon, you are supporting the existence of billionaires like Jeff Bezos.?",,"Could you point to any data or examples that back up Therefore, by buying from Amazon, you are supporting the existence of billionaires like Jeff Bezos.?",
"That's because the conditions animals are reared in and the methods by which they are slaughtered are different topics. If you want to lump them under the general topic of animal welfare, sure. But make sure you recognize that difference.",reasons_evidence,Lacks Evidence,,That's because the conditions animals are reared in and the methods by which they are slaughtered are different topics,,,,,,Could you point to any data or examples that back up That's because the conditions animals are reared in and the methods by which they are slaughtered are different topics?,,Could you point to any data or examples that back up That's because the conditions animals are reared in and the methods by which they are slaughtered are different topics?,
"If life begins at conception, how is contraceptive not killing a life? Because there is no life to kill. It doesn’t exist yet. After conception, a tangible quantifiable life now exists.",reasons_evidence,Lacks Evidence,Weak Evidence,Because there is no life to kill. It doesn’t exist yet.,"After conception, a tangible quantifiable life now exists.",,,,,Could you point to any data or examples that back up Because there is no life to kill. It doesn’t exist yet.?,"What other kinds of evidence might be stronger than After conception, a tangible quantifiable life now exists.?",Could you point to any data or examples that back up Because there is no life to kill. It doesn’t exist yet.?,"What other kinds of evidence might be stronger than After conception, a tangible quantifiable life now exists.?"
It annoys me every time when prolifers say “abortion is murder”. Because so what if it is. Let’s say for a minute that the foetus was a fully grown person.,implication_consequences,,,,,,,,,,,,
It annoys me every time when prolifers say “abortion is murder”. Because so what if it is. Let’s say for a minute that the foetus was a fully grown person.,implication_consequences,,,,,,,,,,,,
"I know it's about 10 years too late but I've always had a problem with people saying Obama is the first black president because it's just factually untrue. Since he's 50/50 (half black, half white) that means he's the first interracial president but he's certainly not black.",implication_consequences,,,,,,,,,,,,
I put murder in quotations because I am kind of using it loosely here and can’t think of a better term. Just to make a few things clear I’m moderate politically and don’t support abortion not for religious reasons but because to me the very nature of abortion is ending a life.,implication_consequences,,,,,,,,,,,,
"From what I know, Christ was essentially a radical leftist. There are a lot of Jesus' teachings that Conservatives ignore, but Jesus was not a ""radical leftist"".",implication_consequences,,,,,,,,,,,,
"That's not me, that's the government that's failing to do so. You're making the argument that legalizing prostitution and brothels will be licensed and inspected like any other business.",implication_consequences,,,,,,,,,,,,
"No, but it is worse in the long run to put the responsibility for such changes on the victims and not on the potential culprits. Instead of saying ""rape victims should try not to get raped,"" we should be saying ""motherfuckers, STOP RAPING PEOPLE.""",implication_consequences,,,,,,,,,,,,
I’m not religious in anyway. When people ask me “what’s the meaning of life?” I say whatever you want it to be.,implication_consequences,,,,,,,,,,,,
I Think it should be illegal because it brain washes men to become addicted. It has even been proven to ruin men's lives check out r/NoFap. It also degrades women to nothing sexual objects same can apply to men as well. Also Masturbation encourages the sexual exploitation of women through porn.,implication_consequences,Questionable Cause-Effect Relationship,,It also degrades women to nothing sexual objects same can apply to men as well.,,,,,,"What makes you think It also degrades women to nothing sexual objects same can apply to men as well. is the main cause, rather than just a coincidence?",,"What makes you think It also degrades women to nothing sexual objects same can apply to men as well. is the main cause, rather than just a coincidence?",
"So I know this is a really, really sensitive subject, I’m not trying to stir up conflict, I’m just having what I believe challenged. Here is why I believe this When I was still in the womb, the doctors recommended that I be aborted because I seemed to be developing abnormally.",implication_consequences,,,,,,,,,,,,
Well yes because eating chocolate is a subset of life. And life has for many intents and purposes infinite variety. If life itself were infinite I can imagine that indeed people would tire of life. I still don't understand why the impermanence of enjoyment means that it's meaningless,implication_consequences,,,,,,,,,,,,
I suspect that blasé attitude is aided by being part of the dominant culture. Native Americans couldn't do much to erase or damage mainstream American culture even if they wanted to.,implication_consequences,Questionable Cause-Effect Relationship,,being part of the dominant culture.,,,,,,"What makes you think being part of the dominant culture. is the main cause, rather than just a coincidence?",,"What makes you think being part of the dominant culture. is the main cause, rather than just a coincidence?",
"Cultural appropriation is the adoption of elements from another culture without that culture's permission. I'd argue that due to Western imperialism, Western cultures have provided ample permission.",implication_consequences,Questionable Cause-Effect Relationship,,"due to Western imperialism, Western cultures have provided ample permission.",,,,,,"What makes you think due to Western imperialism, Western cultures have provided ample permission. is the main cause, rather than just a coincidence?",,"What makes you think due to Western imperialism, Western cultures have provided ample permission. is the main cause, rather than just a coincidence?",
"White people, at their best, have no ill will towards black folks but their refusal to acknowledge or ignorance of systematic racism is not helping black people. Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard.",implication_consequences,Questionable Cause-Effect Relationship,,Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard.,,,,,,"What makes you think Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard. is the main cause, rather than just a coincidence?",,"What makes you think Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard. is the main cause, rather than just a coincidence?",
"White people, at their best, have no ill will towards black folks but their refusal to acknowledge or ignorance of systematic racism is not helping black people. Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard.",implication_consequences,Questionable Cause-Effect Relationship,,systematic racism is not helping black people,,,,,,"What makes you think systematic racism is not helping black people is the main cause, rather than just a coincidence?",,"What makes you think systematic racism is not helping black people is the main cause, rather than just a coincidence?",
What is an example of systemic racism against blacks today? Blacks might not get approved for loans compared to whites because they might have lower credit scores.,implication_consequences,Questionable Cause-Effect Relationship,Causality Flipped,Blacks might not get approved for loans compared to whites because they might have lower credit scores.,they might have lower credit scores.,,,,,"What makes you think Blacks might not get approved for loans compared to whites because they might have lower credit scores. is the main cause, rather than just a coincidence?","Could it be that they might have lower credit scores. is actually the result, not the cause?","What makes you think Blacks might not get approved for loans compared to whites because they might have lower credit scores. is the main cause, rather than just a coincidence?","Could it be that they might have lower credit scores. is actually the result, not the cause?"
"This isn't some policy where every baby with a severe mental issue MUST be euthanized. This is giving the option to parents to euthanize their baby. You can't extend this to euthanizing adults, because there's no comparable circumstance where an individual has ""control"" over an adult.",implication_consequences,,,,,,,,,,,,
"Everyone thinks those who don't have children are ""selfish"" because they want to keep their free time. I believe the exact opposite: those who keep biologically reproducing when there is no evolutionary imperative to do so are the selfish ones.",implication_consequences,,,,,,,,,,,,
"I can't comprehend why we as a society should respect every old person just because they're old. Personally, I'm a believer that respect is earned and not given away.",implication_consequences,,,,,,,,,,,,
"Price is not discriminatory. A poor person and a rich person can both go to a business, what they leave with is up to them. Also, you most definitely can choose to be a different gender/sexual orientation, etc, because that is the current court battle going on.",implication_consequences,Questionable Cause-Effect Relationship,,that is the current court battle going on,,,,,,"What makes you think that is the current court battle going on is the main cause, rather than just a coincidence?",,"What makes you think that is the current court battle going on is the main cause, rather than just a coincidence?",
Because journals are capitalist endeavors that use free peer-reviewing to put out sheer content in exchange for subscriptions and ad revenue. Summaries of such content would only validate them more,implication_consequences,Questionable Cause-Effect Relationship,,Summaries of such content would only validate them more,,,,,,"What makes you think Summaries of such content would only validate them more is the main cause, rather than just a coincidence?",,"What makes you think Summaries of such content would only validate them more is the main cause, rather than just a coincidence?",
"I'd like to start with the definition of ""wet"": \ wet\- consisting of, containing, covered with, or soaked with liquid (such as water) For something to be wet, it needs to be soaked in a liquid (such as water). Since water cannot be soaked in itself, it can never attain the state of being wet.",implication_consequences,,,,,,,,,,,,
