instruction,input,output
Classify the argument and identify relevant spans.,"Why did the hypothetical slave think white people are evil ""Hypothetical slave""? I didn't realize that slaves in America during the 1850s were hypothetical. And they thought 'all whites are evil' because every white person they met considered them to be property.","Classification: ['Lacks Evidence', 'Weak Evidence']
Span: [""didn't realize that slaves in America during the 1850s were hypothetical."", 'every white person they met considered them to be property.']"
Classify the argument and identify relevant spans.,"It's a disservice to yourself to claim to be something you aren't. I'm 37% Scandinavian, 32% English and the rest is a mix of Irish, Greek, and Finnish. Do I call myself a European American? Not at all... Because I'm an American citizen. I'm an American first and foremost.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,Background: -US Federal Law Code says the flag isn’t to be used for clothing. The code isn’t enforceable because of the 1st amendment. -American Legion says it’s okay to have the flag resembled on clothing. The flag is something to be honored and respected.,"Classification: ['Lacks Evidence', 'Weak Evidence']
Span: ['US Federal Law Code says the flag isn’t to be used for clothing.', 'The code isn’t enforceable because of the 1st amendment.']"
Classify the argument and identify relevant spans.,"I can't comprehend why we as a society should respect every old person just because they're old. Personally, I'm a believer that respect is earned and not given away.","Classification: ['Lacks Evidence']
Span: ['respect is earned and not given away']"
Classify the argument and identify relevant spans.,"I am responsible for myself in what sense? In the sense of free will: that you can freely choose the actions you make, and that you are the proximal cause for those choices. As a result, you can be justly rewarded or punished based on those choices that you made.","Classification: ['Weak Evidence']
Span: ['you can freely choose the actions you make,']"
Classify the argument and identify relevant spans.,"That is a silly argument. The word ""privileged"" comes from talking about people born from a privileged background, meaning rich.","Classification: ['Lacks Evidence']
Span: ['The word ""privileged"" comes from talking about people born from a privileged background, meaning rich.']"
Classify the argument and identify relevant spans.,"This is largely overblown. Realistically, the support system in place to get black and Latinx people through high school and into college is way weaker than it is for white people and Asians.","Classification: ['Lacks Evidence']
Span: ['the support system in place to get black and Latinx people through high school and into college is way weaker than it is for white people and Asians.']"
Classify the argument and identify relevant spans.,Because journals are capitalist endeavors that use free peer-reviewing to put out sheer content in exchange for subscriptions and ad revenue. Summaries of such content would only validate them more,"Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"I do design for advanced weapons. I’ve worked on strike aircraft and missiles, but also defense technologies. I won’t go into specifics. I always wanted to work on fighter jets growing up because of the cool factor. Now that I work in the industry and I’ve matured, I’m having some moral qualms.","Classification: ['Lacks Evidence', 'Weak Evidence']
Span: ['I do design for advanced weapons.', 'I work in the industry and I’ve matured,']"
Classify the argument and identify relevant spans.,Establish a historical significance tax exemption so that Westminster Abbey isn't turned into a Walgreens. I am all for that. Lots of corporations do amazing charitable work. And we still tax them. Just because a church runs a soup kitchen doesn't mean that they shouldn't pay tax.,"Classification: ['Lacks Evidence']
Span: ['Lots of corporations do amazing charitable work.']"
Classify the argument and identify relevant spans.,When I was referring to academic success I was referring to how students are less stifled from it unfairly by having to handwrite i.e. due to the ease of restructuring an essay on a PC vs a piece of paper.,"Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"The profit margin of this life-saving drug is beyond anything reasonable. I believe that those who set and/or support these prices are indirectly responsible for the death, pain, suffering, and emotional anguish that happens as a result.","Classification: ['Lacks Evidence']
Span: ['I believe that those who set and/or support these prices are indirectly responsible for the death, pain, suffering, and emotional anguish that happens as a resul']"
Classify the argument and identify relevant spans.,"Here’s my logic: Billionaires like Jeff Bezos exist because people buy from and support the billion-dollar company he runs. Therefore, by buying from Amazon, you are supporting the existence of billionaires like Jeff Bezos.","Classification: ['Lacks Evidence']
Span: ['Therefore, by buying from Amazon, you are supporting the existence of billionaires like Jeff Bezos.']"
Classify the argument and identify relevant spans.,"That's because the conditions animals are reared in and the methods by which they are slaughtered are different topics. If you want to lump them under the general topic of animal welfare, sure. But make sure you recognize that difference.","Classification: ['Lacks Evidence']
Span: [""That's because the conditions animals are reared in and the methods by which they are slaughtered are different topics""]"
Classify the argument and identify relevant spans.,"If life begins at conception, how is contraceptive not killing a life? Because there is no life to kill. It doesn’t exist yet. After conception, a tangible quantifiable life now exists.","Classification: ['Lacks Evidence', 'Weak Evidence']
Span: ['Because there is no life to kill. It doesn’t exist yet.', 'After conception, a tangible quantifiable life now exists.']"
Classify the argument and identify relevant spans.,It annoys me every time when prolifers say “abortion is murder”. Because so what if it is. Let’s say for a minute that the foetus was a fully grown person.,"Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,It annoys me every time when prolifers say “abortion is murder”. Because so what if it is. Let’s say for a minute that the foetus was a fully grown person.,"Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"I know it's about 10 years too late but I've always had a problem with people saying Obama is the first black president because it's just factually untrue. Since he's 50/50 (half black, half white) that means he's the first interracial president but he's certainly not black.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,I put murder in quotations because I am kind of using it loosely here and can’t think of a better term. Just to make a few things clear I’m moderate politically and don’t support abortion not for religious reasons but because to me the very nature of abortion is ending a life.,"Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"From what I know, Christ was essentially a radical leftist. There are a lot of Jesus' teachings that Conservatives ignore, but Jesus was not a ""radical leftist"".","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"That's not me, that's the government that's failing to do so. You're making the argument that legalizing prostitution and brothels will be licensed and inspected like any other business.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"No, but it is worse in the long run to put the responsibility for such changes on the victims and not on the potential culprits. Instead of saying ""rape victims should try not to get raped,"" we should be saying ""motherfuckers, STOP RAPING PEOPLE.""","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,I’m not religious in anyway. When people ask me “what’s the meaning of life?” I say whatever you want it to be.,"Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,I Think it should be illegal because it brain washes men to become addicted. It has even been proven to ruin men's lives check out r/NoFap. It also degrades women to nothing sexual objects same can apply to men as well. Also Masturbation encourages the sexual exploitation of women through porn.,"Classification: ['Questionable Cause-Effect Relationship']
Span: ['It also degrades women to nothing sexual objects same can apply to men as well.']"
Classify the argument and identify relevant spans.,"So I know this is a really, really sensitive subject, I’m not trying to stir up conflict, I’m just having what I believe challenged. Here is why I believe this When I was still in the womb, the doctors recommended that I be aborted because I seemed to be developing abnormally.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,Well yes because eating chocolate is a subset of life. And life has for many intents and purposes infinite variety. If life itself were infinite I can imagine that indeed people would tire of life. I still don't understand why the impermanence of enjoyment means that it's meaningless,"Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,I suspect that blasé attitude is aided by being part of the dominant culture. Native Americans couldn't do much to erase or damage mainstream American culture even if they wanted to.,"Classification: ['Questionable Cause-Effect Relationship']
Span: ['being part of the dominant culture.']"
Classify the argument and identify relevant spans.,"Cultural appropriation is the adoption of elements from another culture without that culture's permission. I'd argue that due to Western imperialism, Western cultures have provided ample permission.","Classification: ['Questionable Cause-Effect Relationship']
Span: ['due to Western imperialism, Western cultures have provided ample permission.']"
Classify the argument and identify relevant spans.,"White people, at their best, have no ill will towards black folks but their refusal to acknowledge or ignorance of systematic racism is not helping black people. Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard.","Classification: ['Questionable Cause-Effect Relationship']
Span: ['Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard.']"
Classify the argument and identify relevant spans.,"White people, at their best, have no ill will towards black folks but their refusal to acknowledge or ignorance of systematic racism is not helping black people. Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard.","Classification: ['Questionable Cause-Effect Relationship']
Span: ['systematic racism is not helping black people']"
Classify the argument and identify relevant spans.,What is an example of systemic racism against blacks today? Blacks might not get approved for loans compared to whites because they might have lower credit scores.,"Classification: ['Questionable Cause-Effect Relationship', 'Causality Flipped']
Span: ['Blacks might not get approved for loans compared to whites because they might have lower credit scores.', 'they might have lower credit scores.']"
Classify the argument and identify relevant spans.,"This isn't some policy where every baby with a severe mental issue MUST be euthanized. This is giving the option to parents to euthanize their baby. You can't extend this to euthanizing adults, because there's no comparable circumstance where an individual has ""control"" over an adult.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"Everyone thinks those who don't have children are ""selfish"" because they want to keep their free time. I believe the exact opposite: those who keep biologically reproducing when there is no evolutionary imperative to do so are the selfish ones.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"I can't comprehend why we as a society should respect every old person just because they're old. Personally, I'm a believer that respect is earned and not given away.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"Price is not discriminatory. A poor person and a rich person can both go to a business, what they leave with is up to them. Also, you most definitely can choose to be a different gender/sexual orientation, etc, because that is the current court battle going on.","Classification: ['Questionable Cause-Effect Relationship']
Span: ['that is the current court battle going on']"
Classify the argument and identify relevant spans.,Because journals are capitalist endeavors that use free peer-reviewing to put out sheer content in exchange for subscriptions and ad revenue. Summaries of such content would only validate them more,"Classification: ['Questionable Cause-Effect Relationship']
Span: ['Summaries of such content would only validate them more']"
Classify the argument and identify relevant spans.,"I'd like to start with the definition of ""wet"": \ wet\- consisting of, containing, covered with, or soaked with liquid (such as water) For something to be wet, it needs to be soaked in a liquid (such as water). Since water cannot be soaked in itself, it can never attain the state of being wet.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"I'd like to start with the definition of ""wet"": \ wet\- consisting of, containing, covered with, or soaked with liquid (such as water) For something to be wet, it needs to be soaked in a liquid (such as water). Since water cannot be soaked in itself, it can never attain the state of being wet.","Classification: ['Causality Flipped']
Span: ['Since water cannot be soaked in itself, it can never attain the state of being wet.']"
Classify the argument and identify relevant spans.,It's an oligarchy in disguise. I don't understand how it isn't. Wealthy Americans have much more influence than everyday working Americans.,"Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"First, I do think it's morally wrong to kill and eat anything that suffers, though I do eat meat, because I am a weak coward. But killing and eating dogs is worse for the following reason: Dogs as we know them today, do not exist naturally.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"Normally it is my opinion that history is a good guide to predicting the future which is why I don't like the opinion that I hold in this instance. Humanity has yet to unite or to destroy itself, therefore it seems to follow that we DON'T need to unite to survive.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"There was a total of one combat related death under Clinton. So no, there weren't killed servicemembers due to military actions. Also, at the time there was a genocide and Iraq was refusing UN weapons inspectors.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,Substantial caveat: I'm in no way discussing privacy from the state. Because it has the rather unique ability to use force legitimately the state is something of a special case. It honestly seems fundamentally bad for anyone's to have privacy.,"Classification: ['Questionable Cause-Effect Relationship']
Span: ['the state. Because it has the rather unique ability to use force legitimately the state is something of a special case.']"
